Program Counter,Panda Current ASID,System Number,Syscall Reutrn Type,Syste Call Name
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473202,889020416,125,long,"sys_mprotect(unsigned long start, size_t len,unsigned long prot);"
3078473135,889020416,91,long,"sys_munmap(unsigned long addr, size_t len);"
3078378521,889020416,258,long,sys_set_tid_address(int __user *tidptr);
3078378521,889020416,311,long,"sys_set_robust_list(struct robust_list_head __user *head,size_t len);"
3078378521,889020416,240,long,"sys_futex(u32 __user *uaddr, int op, u32 val,struct timespec __user *utime, u32 __user *uaddr2,u32 val3);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,175,long,"sys_rt_sigprocmask(int how, sigset_t __user *set,sigset_t __user *oset, size_t sigsetsize);"
3078378521,889020416,191,long,"sys_getrlimit(unsigned int resource,struct rlimit __user *rlim);"
3078378521,889020416,122,long,sys_newuname(struct new_utsname __user *name);
3078378521,889020416,45,long,sys_brk(unsigned long brk);
3078378521,889020416,45,long,sys_brk(unsigned long brk);
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078378521,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078378521,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,91,long,"sys_munmap(unsigned long addr, size_t len);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,240,long,"sys_futex(u32 __user *uaddr, int op, u32 val,struct timespec __user *utime, u32 __user *uaddr2,u32 val3);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,195,long,"sys_stat64(const char __user *filename,struct stat64 __user *statbuf);"
3078378521,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078378521,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078378521,889020416,33,long,"sys_access(const char __user *filename, int mode);"
3078378521,889020416,5,long,"sys_open(const char __user *filename,int flags, int mode);"
3078378521,889020416,197,long,"sys_fstat64(unsigned long fd, struct stat64 __user *statbuf);"
3078378521,889020416,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078378521,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078378521,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,91,long,"sys_munmap(unsigned long addr, size_t len);"
3078378521,889020416,42,long,sys_pipe(int __user *fildes);
3078378521,889020416,120,long,"sys_clone(unsigned long flags, void *child_stack, void *ptid, void *ctid, struct pt_regs *regs);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,174,long,"rt_sigaction(int sig, const struct sigaction __user * act, struct sigaction __user * oact,  size_t sigsetsize);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,3,long,"sys_read(unsigned int fd, char __user *buf, size_t count);"
3078378521,889020416,6,long,sys_close(unsigned int fd);
3078378521,889020416,7,long,"sys_waitpid(pid_t pid, int __user *stat_addr, int options);"
3078464043,925138944,45,long,sys_brk(unsigned long brk);
3078468655,925138944,33,long,"sys_access(const char __user *filename, int mode);"
3078468977,925138944,192,long,"sys_mmap_pgoff(unsigned long addr, unsigned long len,unsigned long prot, unsigned long flags,unsigned long fd, unsigned long pgoff);"
3078468655,925138944,33,long,"sys_access(const char __user *filename, int mode);"
3078468338,925138944,5,long,"sys_open(const char __user *filename,int flags, int mode);"
